Date,Tests,ConfirmedCases,Deaths
2020-01-30,,2,
2020-01-31,,3,
2020-02-03,,3,
2020-02-05,,4,
2020-02-07,,6,
2020-02-08,,8,
2020-02-09,,9,
2020-02-11,,10,
2020-02-12,,18,
2020-02-13,,19,
2020-02-14,,20,
2020-02-16,,18,
2020-02-17,,21,
2020-02-19,,22,
2020-02-20,,11,
2020-02-21,,11,
2020-02-23,,29,
2020-02-24,,13,
2020-02-25,,18,
2020-02-26,,22,
2020-02-27,,29,
2020-02-28,,40,
2020-02-29,,45,
2020-03-01,,65,
2020-03-02,,104,
2020-03-03,,156,
2020-03-04,,205,
2020-03-05,,252,0
2020-03-06,,325,1
2020-03-07,,372,2
2020-03-08,,422,2
2020-03-09,,546,3
2020-03-10,,769,7
2020-03-11,,1122,7
2020-03-12,,1537,9
2020-03-13,,1929,10
2020-03-14,,2243,28
2020-03-15,,2640,42
2020-03-16,,3186,64
2020-03-17,,3866,79
2020-03-18,,4775,112
2020-03-19,,5706,154
2020-03-20,,6788,186
2020-03-21,,7824,240
2020-03-22,,9033,264
2020-03-23,,11052,331
2020-03-24,,13079,474
2020-03-25,,15342,652
2020-03-26,,17954,821
2020-03-27,,20615,1093
2020-03-28,,22991,1372
2020-03-29,,25432,1567
2020-03-30,,28959,1920
2020-03-31,,32747,2288
2020-04-01,,36847,2901
2020-04-02,,40921,3504
2020-04-03,,45020,4159
2020-04-04,,48412,4848
2020-04-05,,51496,5426
2020-04-06,,55885,5958
2020-04-07,,60463,6968
2020-04-08,,64759,7892
2020-04-09,,68822,8886
2020-04-10,,72404,9924
2020-04-11,,75483,10670
2020-04-12,,78431,11276
2020-04-13,,81869,11970
2020-04-14,,85431,12983
2020-04-15,,89665,13715
2020-04-16,,94034,14622
2020-04-17,,98119,15449
2020-04-18,,102245,16460
2020-04-19,,105719,16844
2020-04-20,,109405,17383
2020-04-21,,113376,18506
2020-04-22,,118172,19245
2020-04-23,,122741,19848
2020-04-24,,127108,20673
2020-04-25,,130480,21414
2020-04-26,,133617,21757
2020-04-27,,137648,22064
2020-04-28,,141768,22935
2020-04-29,,146509,23567
2020-04-30,,150825,24127
2020-05-01,,154919,24781
2020-05-02,,157659,25300
2020-05-03,,160292,25546
2020-05-04,,163139,25803
2020-05-05,,166283,26460
2020-05-06,,169549,27030
2020-05-07,,172753,27455
2020-05-08,,175373,27991
2020-05-09,,177165,28274
2020-05-10,,179173,28491
2020-05-11,,182240,28682
2020-05-12,,185167,29288
2020-05-13,,188047,29703
2020-05-14,,190257,30058
2020-05-15,,192387,30394
2020-05-16,,194158,30795
2020-05-17,,195748,30908
2020-05-18,,197968,31052
2020-05-19,,200551,31575
2020-05-20,,202905,31894
2020-05-21,,205183,32168
2020-05-22,,206984,32475
2020-05-23,,208284,32725
2020-05-24,,209482,33142
2020-05-25,,210862,33247
2020-05-26,,212325,33364
2020-05-27,,213940,33778
2020-05-28,,215513,34165
2020-05-29,,216883,34514
2020-05-30,,217883,34712
2020-05-31,,218867,34793
2020-06-01,,220180,34889
2020-06-02,,221539,35206
2020-06-03,,222782,35540
2020-06-04,,223919,35690
2020-06-05,,224936,36034
2020-06-06,,225653,36216
2020-06-07,,226317,36281
2020-06-08,,227308,36333
2020-06-09,,228364,36613
2020-06-10,,229451,36847
2020-06-11,,230370,36981
2020-06-12,,231308,37169
2020-06-13,,232094,37342
2020-06-14,,232841,37368
2020-06-15,,233781,37401
2020-06-16,,234773,37629
2020-06-17,,235684,37797
2020-06-18,,236629,37919
2020-06-19,,237442,38086
2020-06-20,,238071,38208
2020-06-21,,238622,38247
2020-06-22,,239437,38261
2020-06-23,,240166,38427
2020-06-24,,240894,38568
2020-06-25,,241529,38706
2020-06-26,,242175,38888
2020-06-27,,242677,38982
2020-06-28,,243087,39015
2020-06-29,,243754,39036
2020-06-30,,244326,39187
2020-07-01,,244933,39354
2020-07-02,,245492,39434
2020-07-03,,246033,39567
2020-07-04,,246419,39626
2020-07-05,,246959,39647
2020-07-06,,247609,39663
2020-07-07,,248164,39815
2020-07-08,,248835,39936
2020-07-09,,249517,40018
2020-07-10,,250037,40066
2020-07-11,,250452,40213
2020-07-12,,250799,40234
2020-07-13,,251486,40245
2020-07-14,,252131,40379
2020-07-15,,252850,40462
2020-07-16,,253489,40528
2020-07-17,,254032,40640
2020-07-18,,254497,40680
2020-07-19,,254891,40707
2020-07-20,,255636,40718
2020-07-21,,256323,40828
2020-07-22,,257066,40906
2020-07-23,,257795,40959
2020-07-24,,258494,41082
2020-07-25,,258984,41143
2020-07-26,,259497,41156
2020-07-27,,260293,41163
2020-07-28,,261029,41282
2020-07-29,,261840,41360
2020-07-30,,262438,41398
2020-07-31,,262729,41512
2020-08-01,,262746,41584
2020-08-02,,,41589
